ID,NAME,CODE_GENDER,FLAG_OWN_CAR,OWN_CAR,MARK_CAR,FLAG_OWN_REALTY,OWN_REALITY,MARK_REALTY,CNT_CHILDREN,MARK_CHILD,AMT_INCOME_TOTAL,MARK_INCOME,NAME_INCOME_TYPE,MARK_OCCUPATION,NAME_EDUCATION_TYPE,MARK_EDUCATION,NAME_FAMILY_STATUS,MARK_FAMILY,NAME_HOUSING_TYPE,MARK_HOUSE,DAYS_BIRTH,AGE,MARK_BIRTH,DAYS_EMPLOYED,EMP_YEARS,MARK_EMPLOYED,FLAG_MOBIL,MARK_MOBILE,FLAG_WORK_PHONE,MARK_WORK_PHONE,FLAG_PHONE,MARK_PHONE,FLAG_EMAIL,MARK_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,MARK_FAM_MEM,Credit score
5008804,Joseph,Male,Y,1,5,Y,1,5,0,10,427500,6,Working,8,Higher education,8,Civil marriage,8,Rented apartment,8,-12005,32.89041096,4,-4542,12.44383562,5,1,1,1,3,0,0,0,0,,2,10,81
5008805,Mario,Male,Y,1,5,Y,1,5,0,10,427500,6,Working,8,Higher education,8,Civil marriage,8,Rented apartment,8,-12005,32.89041096,4,-4542,12.44383562,5,1,1,1,3,0,0,0,0,,2,10,81
5008808,Janet,Female,N,0,0,Y,1,5,0,10,270000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-19110,52.35616438,2,-3051,8.35890411,5,1,1,0,0,1,3,1,3,Sales staff,1,10,67
5008809,Christina,Female,N,0,0,Y,1,5,0,10,270000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-19110,52.35616438,2,-3051,8.35890411,5,1,1,0,0,1,3,1,3,Sales staff,1,10,67
5008810,Monica,Female,N,0,0,Y,1,5,0,10,270000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-19110,52.35616438,2,-3051,8.35890411,5,1,1,0,0,1,3,1,3,Sales staff,1,10,67
5008811,Krista,Female,N,0,0,Y,1,5,0,10,270000,6,Commercial associate,6,Secondary / secondary special,4,Single / not married,2,House / apartment,10,-19110,52.35616438,2,-3051,8.35890411,5,1,1,0,0,1,3,1,3,Sales staff,1,10,67
5008812,Jessica,Female,N,0,0,Y,1,5,0,10,283500,6,Pensioner,2,Higher education,8,Separated,4,House / apartment,10,-22464,61.54520548,2,365243,1000.665753,3,1,1,0,0,0,0,0,0,,1,10,61
5008813,Carol,Female,N,0,0,Y,1,5,0,10,283500,6,Pensioner,2,Higher education,8,Separated,4,House / apartment,10,-22464,61.54520548,2,365243,1000.665753,3,1,1,0,0,0,0,0,0,,1,10,61
5008814,Doris,Female,N,0,0,Y,1,5,0,10,283500,6,Pensioner,2,Higher education,8,Separated,4,House / apartment,10,-22464,61.54520548,2,365243,1000.665753,3,1,1,0,0,0,0,0,0,,1,10,61
5008815,Nathaniel,Male,Y,1,5,Y,1,5,0,10,270000,6,Working,8,Higher education,8,Married,10,House / apartment,10,-16872,46.22465753,3,-769,2.106849315,2,1,1,1,3,1,3,1,3,Accountants,2,10,87
5112956,Brandon,Male,Y,1,5,Y,1,5,0,10,270000,6,Working,8,Higher education,8,Married,10,House / apartment,10,-16872,46.22465753,3,-769,2.106849315,2,1,1,1,3,1,3,1,3,Accountants,2,10,87
6153651,David,Male,Y,1,5,Y,1,5,0,10,270000,6,Working,8,Higher education,8,Married,10,House / apartment,10,-16872,46.22465753,3,-769,2.106849315,2,1,1,1,3,1,3,1,3,Accountants,2,10,87
5008819,Brent,Male,Y,1,5,Y,1,5,0,10,135000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-17778,48.70684932,3,-1194,3.271232877,4,1,1,0,0,0,0,0,0,Laborers,2,10,74
5008820,Robert,Male,Y,1,5,Y,1,5,0,10,135000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-17778,48.70684932,3,-1194,3.271232877,4,1,1,0,0,0,0,0,0,Laborers,2,10,74
5008821,Steven,Male,Y,1,5,Y,1,5,0,10,135000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-17778,48.70684932,3,-1194,3.271232877,4,1,1,0,0,0,0,0,0,Laborers,2,10,74
5008822,Christopher,Male,Y,1,5,Y,1,5,0,10,135000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-17778,48.70684932,3,-1194,3.271232877,4,1,1,0,0,0,0,0,0,Laborers,2,10,74
5008823,Jorge,Male,Y,1,5,Y,1,5,0,10,135000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-17778,48.70684932,3,-1194,3.271232877,4,1,1,0,0,0,0,0,0,Laborers,2,10,74
5008824,Jacob,Male,Y,1,5,Y,1,5,0,10,135000,6,Commercial associate,6,Secondary / secondary special,4,Married,10,House / apartment,10,-17778,48.70684932,3,-1194,3.271232877,4,1,1,0,0,0,0,0,0,Laborers,2,10,74
5008825,Morgan,Female,Y,1,5,N,0,0,0,10,130500,6,Working,8,Incomplete higher,6,Married,10,House / apartment,10,-10669,29.23013699,5,-1103,3.021917808,4,1,1,0,0,0,0,0,0,Accountants,2,10,75
5008826,Lauren,Female,Y,1,5,N,0,0,0,10,130500,6,Working,8,Incomplete higher,6,Married,10,House / apartment,10,-10669,29.23013699,5,-1103,3.021917808,4,1,1,0,0,0,0,0,0,Accountants,2,10,75
